1000015;1.000
ABE000001;0.000
ABE000002;0.000
ABE000004;0.000
ABE000005;0.000
ABE000006;0.000
ABE000007;0.000
ABE000009;0.000
ABE000010;0.000
ABE000013;4.000
ABE000016;0.000
ABE000019;0.000
ABE000021;0.000
ADB000001;2.000
ADB000002;0.000
ADB000003;0.000
ADB000004;0.000
ADB000005;2.000
ADB000006;11.000
ADB000007;5.000
ADB000008;1.000
ADB000009;1.000
ADB000010;1.000
ADB000011;1.000
ADB000012;1.000
ADB000013;0.000
ADB000014;1.000
ADB000015;3.000
ADB000016;1.000
ADB000017;1.000
ADB000018;1.000
ADB000019;1.000
ADB000020;1.000
ADB000021;1.000
ADB000022;1.000
ADB000023;1.000
ADB000024;4.000
ADB000025;4.000
ADB000026;2.000
ADB000027;1.000
ADB000028;1.000
ADB000029;0.000
ADB000030;1.000
ADB000031;0.000
ADB000032;3.000
ADB000033;0.000
ADB000034;1.000
ADB000035;2.000
ADB000036;1.000
ADB000037;3.000
ADB000038;1.000
ADB000039;1.000
ADB000040;1.000
ADB000041;3.000
ADB000042;2.000
Ald000001;0.000
Ald000002;0.000
Ald000003;0.000
Ald000004;0.000
Ald000005;0.000
Ald000006;0.000
Ald000007;0.000
Ald000008;0.000
Ald000009;0.000
Ald000010;0.000
Ald000011;0.000
Ald000012;0.000
Ald000013;0.000
Ald000014;0.000
Ald000016;0.000
Ald000017;0.000
Ald000018;0.000
Ald000019;12.000
Ald000020;0.000
Ald000021;0.000
Ald000023;0.000
Ald000024;0.000
Aro000001;6.000
Aro000002;0.000
Aro000003;0.000
Aro000004;0.000
Aro000005;0.000
Aro000006;0.000
Aro000007;0.000
Aro000008;0.000
Aro000009;0.000
Aro000010;0.000
Aro000011;9.000
Aro000012;24.000
Aro000013;15.000
Aro000014;0.000
Aro000015;0.000
Aro000016;0.000
Aro000017;0.000
Aro000018;21.000
Aro000019;7.000
Aro000020;5.000
Aro000021;0.000
Aro000022;7.000
Aro000023;23.000
Aro000024;28.000
Aro000025;7.000
Aro000026;0.000
Aro000027;0.000
Aro000028;0.000
Aro000029;7.000
Aro000030;0.000
Aro000031;0.000
Aro000032;16.000
Aro000033;0.000
Aro000034;0.000
Aro000035;0.000
Aro000036;9.000
Aro000037;15.000
Aro000038;0.000
Aro000039;9.000
Aro000040;19.000
Aro000041;27.000
Aro000042;14.000
Aro000043;9.000
Aro000044;14.000
Aro000045;18.000
Aro000046;14.000
Aro000047;4.000
Aro000048;0.000
Aro000049;0.000
Aro000050;0.000
Aro000051;0.000
Aro000052;14.000
Aro000053;0.000
Aro000054;1.000
Aro000055;0.000
Aro000056;1.000
Aro000057;7.000
Aro000058;11.000
Aro000059;0.000
Aro000060;11.000
Aro000061;0.000
Aro000062;0.000
Aro000063;6.000
Aro000064;13.000
Aro000065;25.000
Aro000066;0.000
Aro000067;13.000
Aro000068;0.000
Aro000069;7.000
Aro000070;0.000
Aro000071;5.000
Aro000072;7.000
Aro000073;8.000
Aro000074;0.000
Aro000075;9.000
Aro000076;9.000
Aro000077;7.000
Aro000078;6.000
Aro000079;9.000
Aro000080;0.000
Aro000081;0.000
Aro000082;2.000
Aro000083;0.000
Aro000084;0.000
Aro000085;9.000
Aro000086;15.000
Aro000087;8.000
Aro000088;8.000
Aro000089;14.000
Aro000090;0.000
Aro000091;0.000
Aro000092;0.000
Aro000093;0.000
Aro000094;2.000
Aro000095;0.000
Aro000096;0.000
Aro000097;0.000
Aro000098;0.000
Aro000099;9.000
Aro000100;14.000
Aro000101;0.000
Aro000102;6.000
Aro000103;0.000
Aro000104;0.000
Aro000105;5.000
Aro000106;0.000
Aro000107;0.000
